Disciplina;;Codigo;;Natureza;;Tempo;;Prerequisito;;Corequisito;;Presencial;;HorasSemestrais;;PD;;LB;;CP;;ES;;OR;;Semanal;;Ementa;;BibliografiaBasica;;BibliografiaCompementar
Antenas;;TE084;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Estudo dos diversos tipos de antenas; Projetos deantenas; Utilização das antenas; Antena de celular;Estudo dos parâmetros físicos.;;Constantine A. Balanis, Teoria de Antenas:Análise e Síntese - vol. 1 e vol 2. 3ª Edição, LTC,,Constantine A. Balanis, Antenna Theory -AnalysisDesign, 2nd Ed, John Wiley 1997.,,Matthew N.O. Sadiku, Elementos doEletromagnetismo, Ed. Bookman, 3ª. EdiçãoISBN: 8536302755;,,;;W.L. Stutzman, G.A. Thiele, Antenna Theoryand Design, John Wiley, 2nd Ed;,,Sophocles J. Orfanidis, Electromagnetic Wavesand Antenas, disponível atualmente de formagratuita em: www.ece.rutgers.edu/_orfanidi/ewa,,
Propagação;;TE085;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Estudo das equações de Maxwell; Equação de Onda; Caracterização do meio depropagação; casos diversos com perda e sem perdas; Propagação öff-air?;Propagação guiada.;;<nada>;;<nada>
Microprocessadores;;TE086;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;00 h;;00;;00;;00;;00;;00;;00 h;;<ol><li>Microprocessadores de 8 e 16 bits;</li><li>Microprocessadores Pentium;</li><li>Família Z80;</li><li>Família X86;</li><li>Paralelismo.</li></ol>;;<nada>;;<nada>
Projetos de Sistemas Digitais em PLD;;TE087;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;<ol><li>Análise Teórica da Estrutura;</li><li>Ferramentas de Projeto;</li><li>Principais chips;</li><li>Linguagem VHDL.</li></ol>;;<nada>;;<nada>
Sistemas de Controle Avançado;;TE088;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;00 h;;00;;00;;00;;00;;00;;00 h;;<ol><li>Controle Digital no Domínio Z;</li><li>Controle Não-linear;</li><li>Controle Multivariável e Robusto.</li></ol>;;<nada>;;<nada>
Controle Digital de Processos;;TE089;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Teoria de controle por computador, reconstrução e quantização, relação com sistemas emtempo contínuo pólos e zeros. Projeto de equivalentes discretos de controladores contínuos,aproximações backward, forward e tustin, seleção do período de amostragem, o PID Digital.Análise de sistemas de controle digitais em malha fechada, estabilidade e critério de Jury,margens de fase e de ganho, análise de erros em regime permanente, sensibilidade a erros demodelo. Controle por alocação de pólos, abordagem entrada / saída, lei de controle tipo RTS,Controle por alocação de pólos, abordagem espaço de estados, amostragem de sistemas emespaço de estados inclui o caso com atraso de transporte, regulação por realimentação deestado, observadores estimadores e realimentação de saída.;;Astrom, K JB Wittenmark. Computed Controlled Systems TheoryPractice:,3ed., 1997, Prentice-Hall.,,Franklin, G. F., J. D. PowellM L Workman. Digital Control of Dynamic Systems:,,,2nd ed., 1990, Addison-Wesley.Ogata, K. Discrete-Time Control Systems. Prentice Hall. 1995.,,;;Chen, C.-T. Analog  Digital Control System Design. Saunders College Publishing,1993;,,Astrom, K.T. Hagglund. PID Controllers: Theory, Design,Tuning. InstrumentSociety of Amercia, 1995.,,
Redes de Computadores;;TE090;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;<ol><li>Modelo OSI;[/I]<li>Redes Locais;</li><li>Protocolos;</li><li>Inter-redes;</li><li>Padrão IEEE 802.3;</li><li>TCP/IP.</li></ol>;;<nada>;;<nada>
Programação Orientada a Objeto;;TE091;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;<ol><li>Encapsulamento;</li><li>Herança e Hierarquia;</li><li>Composição e Derivação;</li><li>Construtores;</li><li>Polimorfismos;</li><li>Modelos.</li></ol>;;JAMSA, Kris; KLANDER, Lars. Programando em C/C++. São Paulo: Makron Books, 1999.,,STROUSTRUP, Bjarne. A linguagem de programção C++. Porto Alegre: Bookman, 2000.,,MIZRAHI, Victorine Viviane. Treinamento em Linguagem C++. São Paulo: Makron Books, 1994.,,;;MONTENEGRO, Fernando; PACHECO, Roberto. "Orientação a objetos em C++", EditoraCiência Moderna, 1994.,,DATTATRI, Kayshav. C++: effective object-oriented software construction, 2nd Edition, PrenticeHall, 2000.,,
Redes Externas;;TE098;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;<ol><li>Redes Metálicas;</li><li>Redes Digitais;</li><li>Banda larga;</li><li>Proteção elétrica.</li></ol>;;<nada>;;<nada>
Sistemas de Transmissão I;;TE099;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Sistema de onda portadora em linhas de alta tensão; Sistemas de transmissãofixo ? móvel; Sistema de rádio enlace em visibilidade; Sistemas de comunicaçãoóptica; Sistemas de transmissão via satélite.;;<nada>;;<nada>
Sistemas de Transmissão II;;TE100;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;-Projeto de um sistema de transmissão fixo móvel; Projeto de um rádio enlace emvisibilidade utilizando ondas de rádio; Planos de freqüências; Projeto de umentroncamento óptico ? redes HFC.;;<nada>;;<nada>
Sistemas de Transmissão III;;TE101;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;-Redes Híbridas; Transporte de Informação; Acesso; Processamento daInformação; Evolução de mercado; Tendências de mercado; Gerenciamento deempresas de telecomunicações.;;<nada>;;<nada>
COMUTAÇÃO IV;;TE103;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;<ol><li>Conceitos comutação por circuitos e comutação por mensagens</li><li>Comutação por Pacotes X25</li><li>Sinalização canal comum número 7 - SSC 7</li><li>Teoria de Tráfego Telefônico e sua utilização</li><li>Voz sobre Internet Protocol ? VoIP e Telefonia IP</li><li>Media Gateway Controller MGC ? ?Softswitch?</li><li>Qualidade de serviço para voz sobre IP</li><li>Protocolos de sinalização para Telefonia IP</li><li>Aplicações e Serviços<li>;;VOIP VOZ SOBRE IP ? Sérgio Colcher, Antonio Tadeu A. Gomes, Andrerson Oliveira da Silva, Guido L. de Souza Filho, Luiz Fernando G. Soares ? Editora CampusTELEFONIA IP ? Oliver Hersent, David Guide, Jean-Pierre Petit,,PACKET SWITCHING ? Roy D. Rosner Lifetime Learning Publications,,;;DIGITAL TELEPHONY ? John C. BELLAMY Wiley Series in Telecommunications[LI]NEWTON?S TELECOM DICTIONARY ? Harry Newton Flatiron Publishing,,
Estágio Supervisionado Integral;;TE104;;Obrigatoria;;Semestral;;T e r i n t e g r a l i z a d o 7 2 0 h o r a s e m d i s c i p l i n a s o p t a t i v a s , t o d a s a s d i s c i p l i n a s d a 1 ª a 6 ª Série e a disciplina TE106 -Engenharia de Segurança do T;;<nenhum>;;Presencial;;585 h;;00;;00;;00;;585;;00;;39 h;;Trabalhos supervisionados na área de eletrotécnica, eletrônica outelecomunicações em Empresas, Indústrias ou Instituições de Ensino;;<nada>;;<nada>
Projeto de Graduação;;TE105;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;300 h;;150;;150;;00;;00;;00;;20 h;;Projeto que deverá ser elaborado no último semestre do curso, sob a supervisãode um professor orientador de qualquer uma das ênfases do curso: eletrônica,eletrotécnica ou telecomunicações.;;<nada>;;<nada>
Engenharia e Segurança do Trabalho;;TE106;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Introdução à Engenharia de Segurança do Trabalho - evolução. Conceito de segurança dotrabalho e demais conceitos fundamentais. Riscos ambientais de acidentes de trabalho ? mapade risco. Causas e consequências dos acidentes de trabalho. Normas regulamentadoras daCLT relativas à segurança e medicina do trabalho. Medidas de proteção coletiva ? proteção demáquina ? risco de choque elétrico. Medidas de proteção coletiva ? proteção de máquina ?risco de choque elétrico. Equipamentos de proteção individual e coletivo ? EPI e EPC. Proteçãoe combate a incêndios. Atividades insalubres e perigosas. Responsabilidade civil e criminal dosacidentes do trabalho. Noções de primeiros socorros em acidentes do trabalho.;;Manuais de Legislação Atlas ? Segurança e Medicina do Trabalho,,Manual de Higiene, Segurança e Medicina do Trabalho ? DDY Bensoussan e Sérgio Albieri,,Identificação dos Possíveis Riscos à Saúde do Trabalhador ? William A. Burgess,,Manual de Segurança e Saúde no Trabalho ? Edwar Abreu Gonçalves,,Árvore de Causas ? Maria Cecíia Pereira Binder,,;;Curso Básico de Segurança em Eletricidade ? Aloízio M. de Oliveira,,Manual de Auxílio na Interpretação da Nova NR10 ? João J. B. de Souza e Joaquim G. Pereira.,,
Acionamento de Máquinas;;TE107;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;00 h;;00;;00;;00;;00;;00;;00 h;;<li>Acionamento de máquinas de corrente Contínua com conversores CA/CC monofásicos etrifásicos, Chopper e conversores duais.</li><li>Acionamento de maquinas de corrente alternada.</li><li>Inversores de freqüência controle escalar e vetorial<li>Chaves soft starter.</li>;;Rashid, M. H. Eletrônica de Potência, circuitos, dispositivos e aplicações - Ed. MakronBooks, São Paulo 1999,,Bose, B.K. Modern Power ElectronicsAC Drives- Prentice Hall, 2002,,Mohan, N.; Robbins, W. Power Eletronics converters, applicationsdesign - Secondedition, John Wiley  sons inc., New York, 1995,,;;Weg Automação, Guias de Aplicação de Inversores de Freqüência, Soft starter eservomotores - Weg Automação,,Bim,E. Maquinas elétricas e acionamentos.Uma introdução.Editora Elsevier,São Paulo 2009,,
Análise de Sistemas Elétricos de Potência;;TE108;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;<ol><li>Introdução</li><li>Conceituação de Potência e Energia</li><li>Modelos de Componentes de Sistemas Elétricos</li><li>Sistemas em Por Unidade PU</li><li>Fluxo de Potência em Grandes Redes Elétricas</li></ol>;;<nada>;;<nada>
Cálculo de Curto-Circuito em Sistemas Elétricos;;TE109;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;00 h;;00;;00;;00;;00;;00;;00 h;;Representação de Sistemas Elétricos, Componentes Simétricos, Modelos de Diagramas deSeqüência, Curto-Circuito no Gerador Síncrono, Curto-Circuito no Sistema Elétrico, Curto-Circuito em Sistemas de Distribuição de Energia.;;1 KINDERMANN, Geraldo; 2003. Curto-Circuito. e. ed. Florianópolis: Edição doAutor. UFSC-EEL-LABPLAN. email do autor: geraldo@labplan.ufsc.br,,ALMEIDA, Wilson G., FREITAS, F. D., 1995. Circuitos Polifásicos. FINATEC,,Fundação de Empreendimentos Científicos e Tecnológicos.STEVENSON, W. D.. Elements of Power System Analysis. McGraw-Hill Kogakusha.Ltda.,,;;<nada>
Caracterização de Materiais;;TE110;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;35;;20;;00;;00;;05;;04 h;;<ol><li>Classificação dos Materiais</li><li>Ensaios Mecânicos Destrutivos e Não destrutivos</li><li>Propriedades Mecânicas dos Materiais</li><li>Técnicas de Caracterização Mecânica de Materiais</li><li>Técnicas de Caracterização Espectroscópicas</li><li>Propriedades Elétricas dos Materiais</li><li>Técnicas de Caracterização Elétrica dos Materiais</li></ol>;;Callister Jr., William D. Ciência e Engenharia de Materiais Uma Introdução. 7ª Ed. Editora LTC,Rio de Janeiro, 2008.Walfredo Schmidt. Materiais elétricos Vol. 1, 2 e 3 . 2ª Ed. Editora Edgard Blucher, São Paulo,1979.,,Amauri Garcia, Jaime Alvares Spim e Carlos A. dos Santos. Ensaios dos Materiais. EditoraLCT. Rio de Janeiro, 2000.,,R. Bartnikas. Engineering Dielectrics Vol IIA, Vol IIB. ASTM Special Publication, Quebec, 1983,1987.,,;;V. Canevarolo Jr.,Sebastião.Técnicas de Caracterização de Polímeros. 1ª Ed. Editora Artliber,São Paulo, 2003.,,Taréiev.B.M. Física de los Materiales Dieléctricos.Editora Mir, Moscow, 1978.,,
Comunicação Digital;;TE111;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;30;;30;;00;;00;;00;;04 h;;V. Canevarolo Jr.,Sebastião.Técnicas de Caracterização de Polímeros. 1ª Ed. Editora Artliber,São Paulo, 2003.<br>Taréiev.B.M. Física de los Materiales Dieléctricos.Editora Mir, Moscow, 1978.Chefe;;Simon Haykin, Sistemas de Comunicação, 4ª Edição, Bookman, 2004.,,C. Richard Johnson Jr.William A. Sethares, Telecommunication Breakdown: Concepts ofCommunication Transmitted via Software-Defined Radio, Prentice Hall, 2003,,Bernard Sklar, Digital Communications, 2nd Edition, Prentice Hall 2004.,,;;Simon Haykin e Michael Moher, Introdução aos Sistemas de Comunicações, 2a. Edição,Bookman 2008.,,Jonh G. Proakis, Digital Communications, Third Edition, McGraw-Hill, 1995.,,
Distribuição de Energia Elétrica;;TE114;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;<ol><li>Sistemas de distribuição de energia elétrica.</li><li>Características e previsão de cargas</li><li>Linhas de subtransmissão e SE?s de distribuição</li><li>Distribuição primária e secundária.</li><li>Sistema secundário network.</li><li>Regulação de tensão.</li><li>Aplicação de capacitores.</li></ol>;;<nada>;;<nada>
Ensaios em Equipamentos e Instalações Elétricas;;TE116;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Estudo das Normas Regulamentadoras implantada pela Lei 6.514 de 22 de dezembro de 1977, abordandoaspectos de segurança do trabalho nos mais diversos ramos de atividade, e informações sobre os agentesde riscos físico, químico, biológicos, ergonômicos e de acidentes, como a eletricidade, por exemplo. Oestudo das atuais trinta e três Normas Regulamentadoras possibilitará também um melhor entendimento eaplicação da NR10 Segurança em instalações e serviços em eletricidade, foco principal desta disciplina.;;Manuais de Legislação Atlas ? Segurança e Medicina do Trabalho,,Manual de Higiene, Segurança e Medicina do Trabalho ? DDY Bensoussan e Sérgio Albieri,,Identificação dos Possíveis Riscos à Saúde do Trabalhador ? William A. Burgess,,Manual de Segurança e Saúde no Trabalho ? Edwar Abreu Gonçalves,,Árvore de Causas ? Maria Cecíia Pereira Binder,,;;Curso Básico de Segurança em Eletricidade ? Aloízio M. de Oliveira,,Manual de Auxílio na Interpretação da Nova NR10 ? João J. B. de Souza e Joaquim G. Pereira.,,
Instalações Elétricas de Edifícios de Uso Coletivo;;TE118;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;<ol><li>Fundamentos de Circuitos Elétricos Aplicados às Instalações ElétricasPrediais.</li><li>Norma NBR 5410 da ABNT.</li><li>Norma NTC ? COPEL ?Atendimento a Edifícios de Uso Coletivo?.</li><li>Materiais Empregados nas Instalações Elétricas de um Edifício de UsoColetivo.</li><li>Cálculos e Dimensionamentos Elétricos</li><li>Projeto Prático das Instalações Elétricas de um Edifício de Uso Coletivo</li></ol>;;<nada>;;<nada>
Instalações Elétricas Industriais I;;TE119;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;<ol><li>Critérios de planejamento para instalações elétricas industriais</li><li>Arranjos adotados na distribuição da energia elétrica em indústrias</li><li>Escolha dos níveis de tensão - critérios</li><li>Regulação de tensão ? normas e métodos de cálculo</li><li>Partida de motores elétricos ? métodos de partida, efeitos e normas, cálculodas quedas de tensão durante a partida</li><li>Compensação de energia reativa em instalações industriais</li></ol>;;<nada>;;<nada>
Instalações Elétricas Industriais II;;TE120;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;<ol><li>Sistemas de aterramento de neutro em instalações industriais, critérios edimensionamento</li><li>Malhas de terra e aterramento em instalações industriais, normas, aspectosde segurança, critérios de projeto e dimensionamento</li><li>Proteção de sobrecorrente e coordenação de proteções em instalaçõesindustriais</li><li>Proteção de transformadores, motores e condutores elétricos</li><li>Noções de tarifação de energia elétrica, cálculo de despesas comeletricidade, controle das mesmas, controle de demanda</li></ol>;;<nada>;;<nada>
Interferência Eletromagnética;;TE121;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;<ol><li>Fontes de interferência.eletromagnética</li><li>Mecanismos de interferência.eletromagnética</li><li>Bloqueio de interferência.eletromagnética</li><li>Normas Técnicas</li><li>Modelagem Computacional</li></ol>;;<nada>;;<nada>
Máquinas Síncronas;;TE122;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;<ol><li>Conceitos Preliminares e Princípio de Funcionamento dos Alternadores e dosMotores Síncronos.</li><li>Curvas Características e Diagramas das Máquinas Síncronas.</li><li>Operação em Paralelo de Máquinas Síncronas.</li></ol>;;<nada>;;<nada>
Medidas Elétricas em Altas Freqüências;;TE123;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;<ol><li>Casamento de Impedâncias.</li><li>Reflexão de Sinais.</li><li>Ruídos em Altas Freqüências.</li><li>Medidas no Domínio do Tempo</li><li>Técnicas de Medição em Altas Freqüências.</li></ol>;;<nada>;;<nada>
Microcontroladores;;TE124;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;00 h;;00;;00;;00;;00;;00;;00 h;;Arquitetura; Organização de memória; Modos de endereçamento; Conjunto de instruções;Interrupções; Estrutura de programação; Interfaces de E/S.;;?Sistemas Digitais ? Princípios e Aplicações?. Ronald Tocci e Neal Widmer. Editora PearsonEducation do Brasil,,?Introduction to Microcontrollers?, encontrado no sitehttp://paginas.fisica.uson.mx/horacio.munguia/aula_virtual/Recursos/Microcontroller.pdf,,;;Manual de Referência Datasheet do microcontrolador a ser estudado, encontrado no sitedo fabricante,,
Motores de Indução;;TE125;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;<nada>;;<nada>;;<nada>
Projeto de Circuitos Integrados Digitais;;TE130;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;<ol><li>Tecnologias de Circuitos Integrados.</li><li>Etapas de Processos de Fabricação de Circuitos Integrados CMOS.</li><li>Características Elétricas.</li><li>Blocos Lógicos de Circuitos.</li><li>Minimização de Funções e Blocos Lógicos.</li><li>Circuitos Integrados Digitais Dedicados.</li><li>Projeto Prático de um Circuito Integrado.</li></ol>;;<nada>;;<nada>
Proteção de Sistemas Elétricos;;TE131;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;<ol><li>Conceitos básicos,</li><li>Características funcionais da proteção,</li><li>Zonas de proteção, proteções primaria e de retaguarda,</li><li>Fusíveis de baixa e alta tensão,</li><li>Relés tipos, classificações, etc,</li><li>Proteção de sistemas industriais,</li><li>Proteção de sistemas de distribuição,</li><li>Proteção de sistemas de potência de alta e extra-alta tensão LTs, TRs,GRs, Barras, etc.,</li><li>Transformadores redutores p/ proteção TCs e TPs</li><li>Exercícios de aplicação</li></ol>;;Introdução à Proteção dos Sistemas Elétricos - Amadeu Casal Caminha,Edição Eletrobrás,,Applied Protective Relaying - Westinghouse Electric Corporation, Newark-New Jersey,,The ArtScience of Protective Relaying - C. Russel Mason, John Willey Sons, Inc. -N Y.,,;;<nada>
Síntese de Filtros;;TE132;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;<ol><li>Aproximações.</li><li>Filtros Passivos.</li><li>Filtros Ativos.</li><li>Outros Tipos de Filtros.</li></ol>;;<nada>;;<nada>
Sistemas de Controle Aplicados à Geração e Transmissão de Energia Elétrica;;TE133;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;40;;20;;00;;00;;00;;04 h;;1. Introdução2. Análise do Título da Disciplina3. Sistema de Excitação.4. Sistemas de Controle de Velocidade.5. Sistemas Flexíveis de Transmissão de Energia Elétrica em Corrente AlternadaFACTS.;;Prabha Kundur, Power System StabilityControl,,Olle I. Elgerd , Introdução a Teoria de Sistemas de Energia Elétrica,,Artigos Técnicos e Manuais de Fabricantes de Equipamentos.,,;;IEEE,,CIGRE,,
Sistemas de Proteção Contra Distúrbios Elétricos;;TE135;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;<ol><li>Tipos de Solos.</li><li>Resistividade do Solo e Estratificação do Solo.</li><li>Resistência de Terra e Impedância de Aterramento.</li><li>Medidas Elétricas de Resistividade e de Resistência de Terra.</li><li>Medidas de Resistência de Terra Pontual, de Malha e de Pontos Multi-Aterrados.</li><li>Seis Pontos de uma Proteção contra Distúrbios Elétricos.</li><li>Proteção de Site e Manutenção.</li><li>Visitas Técnicas</li></ol>;;<nada>;;<nada>
Sobretensões e Coordenação de Isolamento em Sistemas Elétricos de Potência;;TE136;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;<ol><li>Sobretensões temporárias, de manobras e atmosféricas,</li><li>Transitórios em sistemas elétricos de potência,</li><li>Ondas viajantes em sistemas elétricos,</li><li>Impedâncias de surtos de linhas, torres e equipamentos,</li><li>Modelagem para surtos,</li><li>Stress dielétrico,</li><li>Suportabilidade para surtos temporários,de manobra e atmosféricos,</li><li>Gradientes de potencial</li><li>Dispositivos de proteção contra surtos,</li><li>Para-ráios de potência, centelhadores, cabos para-ráios em linhas detransmissão,</li><li>Coordenação de isolamento em sistemas elétricos,</li><li>Proteção de edificações contra descargas atmosféricas,</li><li>Teoria das descargas em gases</li></ol>;;Transitórios e Coordenação de Isolamento - Editora da Univ. FederalFluminense- RJ.,,Electrical Transients in Power Systems - Allan Greenwood, WilleyIntersciense, 1971,,Insulation Coordination in High-Voltage Electric power Systems - W.Diesendorf, Butterworth  Co -1974,,;;<nada>
Subestações;;TE137;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;<ol><li>Introdução.</li><li>Tipos de Subestações.</li><li>Arranjos de Barramentos.</li><li>Sistemas de Proteção e Controle.</li><li>Sobretensões e Isolamentos.</li><li>Estruturas, Barramentos e Conexões.</li><li>Aterramentos e Blindagens.</li><li>Projetos de Subestações</li><li>Conclusões.</li></ol>;;Furnas - Equipamentos Elétricos.,,Carlos A. Araújo e outros - Proteção de Sistemas Elétricos.,,ABB ? Switchgear Manual,,João Mamede Filho - Manual de Equipamentos elétricos.,,Siemens - Disjuntores de Alta Tensão.,,Normas ABNT.,,;;<nada>
Transformadores e Autotransformadores Trifásicos;;TE139;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;<ol><li>Características Físicas e Elementos Construtivos de transformadores eAutotransformadores Trifásicos.</li><li>Funcionamento à Vazio, em Carga e em Paralelo.</li><li>Rendimento.</li><li>Diagramas e Ensaios.</li></ol>;;<nada>;;<nada>
Transmissão de Energia Elétrica;;TE140;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;<ol><li>Introdução a Transmissão de Energia Elétrica.</li><li>Elementos Básicos para o Projeto das Linhas de Transmissão.</li><li>Estudo do Comportamento Mecânico dos Condutores Elétricos.</li><li>Roteiro dos Projetos Mecânicos dos Condutores.</li><li>Projetos Elétricos de Linhas de Transmissão Aéreas.</li><li>Relações entre Tensão e Corrente em uma Linha de Transmissão.</li></ol>;;<nada>;;<nada>
Economia para Engenharia Elétrica;;TE142;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;30;;00;;00;;00;;00;;02 h;;<ol><li>Teoria Econômica: história e evolução.</li><li>Juros Simples e Juros Compostos</li><li>Sistemas de Amortização de Dívidas</li><li>Inflação e Variações Cambiais</li><li>Análise de Investimentos</li><li>Métodos de Depreciação</li><li>Análise de Custos</li><li>Análise sob Condições de Riscos ou Incertezas</li><li>Aplicações no plano da Engenharia Elétrica</li></ol>;;CASAROTTO FILHO, Nelson; KOPITTKE, Bruno Hartmut. Análise de investimentos:matemática financeira, engenharia econômica, tomada de decisão, estratégia empresarial.11. ed. São Paulo: Atlas, 2010.,,BLANK, Leland T.; TARQUIN, Anthony J. Engenharia econômica. São Paulo: MacGraw Hill,2008.,,NEWNAN, Donald G.; LAVELLE, Jerome P. Fundamentos de engenharia econômica. SãoPaulo: LTC, 2000.,,;;ASSAF NETO, Alexandre. Matemática financeira e suas aplicações. 11. ed. São Paulo: Atlas,2009.,,EHRLICH, Pierre Jacques; MORAES, Edmilson Alves de. Engenharia econômica: avaliaçãoe seleção de projetos de investimento. 6. ed. São Paulo: Atlas, 2010.,,
Circuitos de Rádio Freqüência;;TE143;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;00 h;;00;;00;;00;;00;;00;;00 h;;<ol><li>Análise de Linhas de Transmissão.</li><li>Carta de Smith.</li><li>Redes de várias portas</li><li>Componentes ativos para Rádio-Freqüência</li><li>Redes de Casamento de Impedâncias e Polarização</li><li>Amplificadores de Rádio-Freqüência</li><li>Osciladores e Conversores de Freqüência</li></ol>;;LUDWIG,R.  BRETCHKO,P.; RF Circuit Design - TheoryApplications, Ed. Prentice Hall,2005.,,BAHL,I.  BHARTIA,P.; Microwave Solid State Circuit Design, Ed. John Willey  Sons, 1988.,,COLLIN,R.E.; Foundations for Microwave Engineering, Ed. McGraw-Hill,1966.,,;;<nada>
Introdução a Circuitos Elétricos;;TE145;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Conceitos Básicos, Circuitos Resistivos, Fontes dependentes,. 4. Métodos de Análise deCircuitos, Teoremas Básicos dos Circuitos Elétricos, Indutância e Capacitância, Análise deCircuitos RL e RC,. Circuito de 2 ordem;;?Fundamentos de Circuitos Elétricos?. Charles K. Alexander  Matthew N. O. Sadiku.Bookman, 2003.,,?Introdução à Análise de Circuitos?. Boylestad. Editora PHB.,,?Análise de Circuitos em Engenharia?. Hayt e Kemmerly. Editora Mc Graw Hill.,,;;<nada>
